구분	경로	이전_SHA256	이전_bytes	현재_SHA256	현재_bytes
변경	.claude/commands/item-images.md	00dbf62e6224af1c46e6db326f5285039af19702c6b05c96ee078e1015e9f400	2661	656549da3f960ba197b6c2b354a6672bbb56c204c05d41fd225c8462caf035cf	3080
변경	CLAUDE.md	0c391d6213598be949894c822ac1f4d164cfcf44a86614d010e43b125121189f	930	4b1bd76a935d003a6ebd7f89a3bbeffc981bd2b1e94fee8ce641a78891ecc393	2798
변경	index.html	4b28c5c4ed3c894486c71c12f984d864a7ab5c382d6f89ea511700359b1db2a0	238174	151074724f56f6bc4764f7d3dccace3d317a8915375cd36fdda8f0cff705a304	250159
변경	itemImages/README.md	858694d1da48389e3e80193d01c66a6141346d7c2683576a10e46e2431db8d05	1053	e0f4e9bddf2c6fa619c1ed0bceb7be1bbb9068705d350299ac2ee4302120286a	2357
변경	itemImages/item_1.png	add0eda02b7e306e9dd23f9916e9c41dea34b9b9756abf8cbd5c98ac5315aad5	3520	c4ad8124440e6cf2570f2220c3972ae0c9dd7766dd7ba1526842c69cf18b777e	18617
변경	itemImages/item_10.png	7153c6542fe23f74a21ddffddb4b4dbe5d1d6ce5a712e7d55a5c305adb6acba4	3339	0230b58570ad537d88426e79e3a4e0632d05737fe1323afe0ab7888382e56efa	17540
변경	itemImages/item_16.png	e4b675934c1a84772b5858f3e2446495f31be012763673ad909b29364676d2f3	4562	a8ff38e2522d4debfcfb2ffcb8cfcb8e447abb3d18cf638f218f59c48a0bc742	23688
변경	itemImages/item_17.png	2b23a802f43fdaa7686ced111a9b47a6f93385d3c7592fbad235890581511843	2354	c8808ad659f24795b76ef55b62d57ccec562d6121f80e1bda3378b7ec3bd8f69	9398
변경	itemImages/item_18.png	9fea700f1ea9b6d426a0d8ef6952971b6f54386b5bf2282e765be24b91556dcd	2327	99beb62ae7ed74f54b0b299cb99ad65f8e3d14ebc36c90bc1ec65a4f7f1e8e02	10454
변경	itemImages/item_2.png	1eba70da392819a694c8b9bb510fcb2a23b8f8fdd74c02cd148eac866d070269	3366	07830dacb089a9385eb4f2e69ca93a3aa728f2a0e4b675f33109d35120d68ee9	16693
변경	itemImages/item_20.png	42852c2ec16099479e5ae973dbbca48c9777d55c11971cb321b6319956ffc6fe	3136	e1ebbc591b53369caf10df75834517e9333d3b38fe89ad92f7fd2bf276a4773b	24215
